[2026-03-03 21:49:41] === Start wait-and-run pipeline ===
[2026-03-03 21:49:41] Log file: R:\code\EXTRACT-public\1pMCRI-production\logs\wait_and_run_cascadetorch_20260303_214941.log
[2026-03-03 21:49:41] Expected output: R:\code\EXTRACT-public\1pMCRI-production\output_250810-Ras2-GC#78_reg.mat
[2026-03-03 21:49:41] Conda env: CascadeTorch
[2026-03-03 21:49:41] Waiting for file: R:\code\EXTRACT-public\1pMCRI-production\output_250810-Ras2-GC#78_reg.mat
[2026-03-03 21:49:41] Condition: unchanged for 300 seconds
[2026-03-03 21:49:41] File not found yet.
[2026-03-03 21:49:51] File not found yet.
[2026-03-03 21:50:01] File not found yet.
[2026-03-03 21:50:11] File not found yet.
[2026-03-03 21:50:21] File not found yet.
[2026-03-03 21:50:31] File not found yet.
[2026-03-03 21:50:41] File not found yet.
[2026-03-03 21:50:51] File not found yet.
[2026-03-03 21:51:01] File not found yet.
[2026-03-03 21:51:11] File not found yet.
[2026-03-03 21:51:21] File not found yet.
[2026-03-03 21:51:31] File not found yet.
[2026-03-03 21:51:41] File not found yet.
[2026-03-03 21:51:51] File not found yet.
[2026-03-03 21:52:01] File not found yet.
[2026-03-03 21:52:11] File not found yet.
[2026-03-03 21:52:21] File not found yet.
[2026-03-03 21:52:31] File not found yet.
[2026-03-03 21:52:41] File not found yet.
[2026-03-03 21:52:51] File not found yet.
[2026-03-03 21:53:01] File not found yet.
[2026-03-03 21:53:11] File not found yet.
[2026-03-03 21:53:21] File not found yet.
[2026-03-03 21:53:31] File not found yet.
[2026-03-03 21:53:41] File not found yet.
[2026-03-03 21:53:51] File not found yet.
[2026-03-03 21:54:01] File not found yet.
[2026-03-03 21:54:11] File not found yet.
[2026-03-03 21:54:21] File not found yet.
[2026-03-03 21:54:31] File not found yet.
[2026-03-03 21:54:41] File not found yet.
[2026-03-03 21:54:51] File not found yet.
[2026-03-03 21:55:01] File not found yet.
[2026-03-03 21:55:11] File not found yet.
[2026-03-03 21:55:21] File not found yet.
[2026-03-03 21:55:31] File not found yet.
[2026-03-03 21:55:42] File not found yet.
[2026-03-03 21:55:52] File not found yet.
[2026-03-03 21:56:02] File not found yet.
[2026-03-03 21:56:12] File not found yet.
[2026-03-03 21:56:22] File not found yet.
[2026-03-03 21:56:32] File not found yet.
[2026-03-03 21:56:42] File not found yet.
[2026-03-03 21:56:52] File not found yet.
[2026-03-03 21:57:02] File not found yet.
[2026-03-03 21:57:12] File not found yet.
[2026-03-03 21:57:22] File not found yet.
[2026-03-03 21:57:32] File not found yet.
[2026-03-03 21:57:42] File not found yet.
[2026-03-03 21:57:52] File not found yet.
[2026-03-03 21:58:02] File not found yet.
[2026-03-03 21:58:12] File not found yet.
[2026-03-03 21:58:22] File not found yet.
[2026-03-03 21:58:32] File not found yet.
[2026-03-03 21:58:42] File not found yet.
[2026-03-03 21:58:52] File not found yet.
[2026-03-03 21:59:02] File not found yet.
[2026-03-03 21:59:12] File not found yet.
[2026-03-03 21:59:22] File not found yet.
[2026-03-03 21:59:32] File not found yet.
[2026-03-03 21:59:42] File not found yet.
[2026-03-03 21:59:52] File not found yet.
[2026-03-03 22:00:02] File not found yet.
[2026-03-03 22:00:12] File not found yet.
[2026-03-03 22:00:22] File not found yet.
[2026-03-03 22:00:32] File not found yet.
[2026-03-03 22:00:42] File not found yet.
[2026-03-03 22:00:52] File not found yet.
[2026-03-03 22:01:02] File not found yet.
[2026-03-03 22:01:12] File not found yet.
[2026-03-03 22:01:22] File not found yet.
[2026-03-03 22:01:32] File not found yet.
[2026-03-03 22:01:42] File not found yet.
[2026-03-03 22:01:52] File not found yet.
[2026-03-03 22:02:02] File not found yet.
[2026-03-03 22:02:12] File not found yet.
[2026-03-03 22:02:22] File not found yet.
[2026-03-03 22:02:32] File not found yet.
[2026-03-03 22:02:42] File not found yet.
[2026-03-03 22:02:52] File not found yet.
[2026-03-03 22:03:02] File not found yet.
[2026-03-03 22:03:12] File not found yet.
[2026-03-03 22:03:22] File not found yet.
[2026-03-03 22:03:32] File not found yet.
[2026-03-03 22:03:42] File not found yet.
[2026-03-03 22:03:52] File not found yet.
[2026-03-03 22:04:02] File not found yet.
[2026-03-03 22:04:12] File not found yet.
[2026-03-03 22:04:22] File not found yet.
[2026-03-03 22:04:32] File not found yet.
[2026-03-03 22:04:42] File not found yet.
[2026-03-03 22:04:52] File not found yet.
[2026-03-03 22:05:02] File not found yet.
[2026-03-03 22:05:12] File not found yet.
[2026-03-03 22:05:22] File not found yet.
[2026-03-03 22:05:32] File not found yet.
[2026-03-03 22:05:42] File not found yet.
[2026-03-03 22:05:52] File not found yet.
[2026-03-03 22:06:02] File not found yet.
[2026-03-03 22:06:12] File not found yet.
[2026-03-03 22:06:22] File not found yet.
[2026-03-03 22:06:32] File not found yet.
[2026-03-03 22:06:43] File not found yet.
[2026-03-03 22:06:53] File not found yet.
[2026-03-03 22:07:03] File not found yet.
[2026-03-03 22:07:13] File not found yet.
[2026-03-03 22:07:23] File not found yet.
[2026-03-03 22:07:33] File not found yet.
[2026-03-03 22:07:43] File not found yet.
[2026-03-03 22:07:53] File not found yet.
[2026-03-03 22:08:03] File not found yet.
